Fold,Pruning_Strategy,Accuracy,AUC,Precision,Recall
1,Baseline,0.7278481125831604,0.8085242509841919,0.78125,0.6329113841056824
1,Pruned_All,0.5379746556282043,0.7737542390823364,0.5202702879905701,0.9746835231781006
1,Pruned_Top1,0.7278481125831604,0.7983496189117432,0.7432432174682617,0.6962025165557861
1,Pruned_Top5,0.6962025165557861,0.7953853011131287,0.6703296899795532,0.7721518874168396
1,Pruned_Top10,0.6518987417221069,0.7823265790939331,0.5952380895614624,0.949367105960846
1,Pruned_Top15,0.5379746556282043,0.7733536958694458,0.5202702879905701,0.9746835231781006
2,Baseline,0.7324841022491455,0.809883177280426,0.8135592937469482,0.607594907283783
2,Pruned_All,0.7452229261398315,0.8062317371368408,0.8095238208770752,0.6455696225166321
2,Pruned_Top1,0.7388535141944885,0.8057449460029602,0.8166666626930237,0.6202531456947327
2,Pruned_Top5,0.7452229261398315,0.8062317371368408,0.8095238208770752,0.6455696225166321
2,Pruned_Top10,0.7452229261398315,0.8063940405845642,0.8095238208770752,0.6455696225166321
2,Pruned_Top15,0.7452229261398315,0.8020934462547302,0.800000011920929,0.6582278609275818
3,Baseline,0.7643312215805054,0.867900013923645,0.8088235259056091,0.6962025165557861
3,Pruned_All,0.5031847357749939,0.7858650088310242,0.5031847357749939,1.0
3,Pruned_Top1,0.7961783409118652,0.865384578704834,0.8133333325386047,0.7721518874168396
3,Pruned_Top5,0.7197452187538147,0.8605971932411194,0.6605504751205444,0.9113923907279968
3,Pruned_Top10,0.6369426846504211,0.8584063649177551,0.5833333134651184,0.9746835231781006
3,Pruned_Top15,0.5159235596656799,0.8152385354042053,0.5096774101257324,1.0
4,Baseline,0.7197452187538147,0.8136156797409058,0.7023809552192688,0.7564102411270142
4,Pruned_All,0.7070063948631287,0.8146705031394958,0.6428571343421936,0.9230769276618958
4,Pruned_Top1,0.7133758068084717,0.815157413482666,0.6853932738304138,0.7820512652397156
4,Pruned_Top5,0.6942675113677979,0.8128042817115784,0.65625,0.807692289352417
4,Pruned_Top10,0.6878980994224548,0.8093151450157166,0.6407766938209534,0.8461538553237915
4,Pruned_Top15,0.7070063948631287,0.8146705031394958,0.6428571343421936,0.9230769276618958
5,Baseline,0.7515923380851746,0.7933301329612732,0.782608687877655,0.692307710647583
5,Pruned_All,0.4968152940273285,0.767039954662323,0.4968152940273285,1.0
5,Pruned_Top1,0.7515923380851746,0.7938981056213379,0.7532467246055603,0.7435897588729858
5,Pruned_Top5,0.6178343892097473,0.7883803844451904,0.5737704634666443,0.8974359035491943
5,Pruned_Top10,0.5859872698783875,0.7831872701644897,0.548872172832489,0.9358974099159241
5,Pruned_Top15,0.5159235596656799,0.7849724292755127,0.5067567825317383,0.9615384340286255
6,Baseline,0.7151898741722107,0.7976285219192505,0.75,0.6455696225166321
6,Pruned_All,0.6835442781448364,0.7972279787063599,0.6407766938209534,0.8354430198669434
6,Pruned_Top1,0.7215189933776855,0.7935426235198975,0.7464788556098938,0.6708860993385315
6,Pruned_Top5,0.702531635761261,0.7928216457366943,0.699999988079071,0.7088607549667358
6,Pruned_Top10,0.6772152185440063,0.7945842146873474,0.6320754885673523,0.8481012582778931
6,Pruned_Top15,0.6835442781448364,0.794984757900238,0.6380952596664429,0.8481012582778931
7,Baseline,0.7070063948631287,0.73945152759552,0.746268630027771,0.6329113841056824
7,Pruned_All,0.5987260937690735,0.7569782137870789,0.5645161271095276,0.8860759735107422
7,Pruned_Top1,0.6942675113677979,0.7379909753799438,0.7123287916183472,0.6582278609275818
7,Pruned_Top5,0.662420392036438,0.7436708807945251,0.644444465637207,0.7341772317886353
7,Pruned_Top10,0.5987260937690735,0.7569782137870789,0.5645161271095276,0.8860759735107422
7,Pruned_Top15,0.5987260937690735,0.7562479972839355,0.5625,0.9113923907279968
8,Baseline,0.7388535141944885,0.8180785775184631,0.8064516186714172,0.6329113841056824
8,Pruned_All,0.6878980994224548,0.8145083785057068,0.6339285969734192,0.8987341523170471
8,Pruned_Top1,0.7133758068084717,0.8141836524009705,0.7361111044883728,0.6708860993385315
8,Pruned_Top5,0.7133758068084717,0.8208373785018921,0.7023809552192688,0.746835470199585
8,Pruned_Top10,0.6878980994224548,0.8145083785057068,0.6339285969734192,0.8987341523170471
8,Pruned_Top15,0.6878980994224548,0.8136969208717346,0.6339285969734192,0.8987341523170471
9,Baseline,0.7261146306991577,0.8167802095413208,0.7397260069847107,0.692307710647583
9,Pruned_All,0.5541401505470276,0.8061506152153015,0.5270270109176636,1.0
9,Pruned_Top1,0.7261146306991577,0.8109380006790161,0.7108433842658997,0.7564102411270142
9,Pruned_Top5,0.7070063948631287,0.8072865605354309,0.6454545259475708,0.9102563858032227
9,Pruned_Top10,0.6433120965957642,0.81053227186203,0.5873016119003296,0.9487179517745972
9,Pruned_Top15,0.5605095624923706,0.8099643588066101,0.5306122303009033,1.0
10,Baseline,0.7898089289665222,0.8673319816589355,0.8571428656578064,0.692307710647583
10,Pruned_All,0.5159235596656799,0.8384453058242798,0.5064935088157654,1.0
10,Pruned_Top1,0.7898089289665222,0.8710645437240601,0.8082191944122314,0.7564102411270142
10,Pruned_Top5,0.7452229261398315,0.8701720833778381,0.6759259104728699,0.9358974099159241
10,Pruned_Top10,0.662420392036438,0.8680623173713684,0.5984252095222473,0.9743589758872986
10,Pruned_Top15,0.5286624431610107,0.8601915836334229,0.5135135054588318,0.9743589758872986
11,Baseline,0.746835470199585,0.8236660361289978,0.7910447716712952,0.6708860993385315
11,Pruned_All,0.6835442781448364,0.8403301239013672,0.626086950302124,0.9113923907279968
11,Pruned_Top1,0.746835470199585,0.8277519345283508,0.7746478915214539,0.6962025165557861
11,Pruned_Top5,0.746835470199585,0.8390482068061829,0.7142857313156128,0.8227847814559937
11,Pruned_Top10,0.6835442781448364,0.840089738368988,0.626086950302124,0.9113923907279968
11,Pruned_Top15,0.6329113841056824,0.8377664089202881,0.5813953280448914,0.949367105960846
12,Baseline,0.6942675113677979,0.7923564314842224,0.7313432693481445,0.6202531456947327
12,Pruned_All,0.5286624431610107,0.7667153477668762,0.5165562629699707,0.9873417615890503
12,Pruned_Top1,0.7133758068084717,0.7884615063667297,0.7297297120094299,0.6835442781448364
12,Pruned_Top5,0.7324841022491455,0.7912203669548035,0.7228915691375732,0.7594936490058899
12,Pruned_Top10,0.675159215927124,0.7859461307525635,0.6296296119689941,0.8607594966888428
12,Pruned_Top15,0.6878980994224548,0.7900843620300293,0.6293103694915771,0.9240506291389465
13,Baseline,0.7452229261398315,0.7920318841934204,0.8196721076965332,0.6329113841056824
13,Pruned_All,0.7197452187538147,0.7837553024291992,0.7397260069847107,0.6835442781448364
13,Pruned_Top1,0.7388535141944885,0.7891917824745178,0.7878788113594055,0.6582278609275818
13,Pruned_Top5,0.7261146306991577,0.7848101258277893,0.75,0.6835442781448364
13,Pruned_Top10,0.7324841022491455,0.7847289443016052,0.7605633735656738,0.6835442781448364
13,Pruned_Top15,0.7324841022491455,0.7844043970108032,0.7605633735656738,0.6835442781448364
14,Baseline,0.6942675113677979,0.8152385950088501,0.7884615659713745,0.5256410241127014
14,Pruned_All,0.662420392036438,0.8425835371017456,0.5968992114067078,0.9871794581413269
14,Pruned_Top1,0.7197452187538147,0.817672848701477,0.7931034564971924,0.5897436141967773
14,Pruned_Top5,0.7643312215805054,0.8274909853935242,0.7411764860153198,0.807692289352417
14,Pruned_Top10,0.7070063948631287,0.8442875146865845,0.6379310488700867,0.9487179517745972
14,Pruned_Top15,0.662420392036438,0.8425835371017456,0.5968992114067078,0.9871794581413269
15,Baseline,0.7452229261398315,0.8459104299545288,0.8392857313156128,0.6025640964508057
15,Pruned_All,0.5350318551063538,0.7899221181869507,0.517241358757019,0.9615384340286255
15,Pruned_Top1,0.7707006335258484,0.8397436738014221,0.8500000238418579,0.6538461446762085
15,Pruned_Top5,0.7388535141944885,0.8233528137207031,0.7341772317886353,0.7435897588729858
15,Pruned_Top10,0.6815286874771118,0.8201882839202881,0.6206896305084229,0.9230769276618958
15,Pruned_Top15,0.5605095624923706,0.8005517721176147,0.5319148898124695,0.9615384340286255
16,Baseline,0.6835442781448364,0.7830476760864258,0.6883116960525513,0.6708860993385315
16,Pruned_All,0.5189873576164246,0.7413074374198914,0.5096774101257324,1.0
16,Pruned_Top1,0.6898733973503113,0.7826470136642456,0.6829268336296082,0.7088607549667358
16,Pruned_Top5,0.6582278609275818,0.7718314528465271,0.6190476417541504,0.8227847814559937
16,Pruned_Top10,0.607594907283783,0.7585322260856628,0.565891444683075,0.9240506291389465
16,Pruned_Top15,0.5189873576164246,0.7415477633476257,0.5096774101257324,1.0
17,Baseline,0.7770700454711914,0.8296008110046387,0.8548387289047241,0.6708860993385315
17,Pruned_All,0.7579618096351624,0.8244076371192932,0.7469879388809204,0.7848101258277893
17,Pruned_Top1,0.7707006335258484,0.8306556940078735,0.8307692408561707,0.6835442781448364
17,Pruned_Top5,0.7770700454711914,0.8301688432693481,0.7972972989082336,0.746835470199585
